specimen_collection_date,new_cases,cumulative_cases,data_as_of,data_loaded_at
10/04/2021 12:00:00 AM,86,51173,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
10/07/2021 12:00:00 AM,72,51446,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
10/10/2021 12:00:00 AM,30,51575,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
10/13/2021 12:00:00 AM,70,51781,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
10/16/2021 12:00:00 AM,35,51926,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
10/19/2021 12:00:00 AM,67,52087,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
10/22/2021 12:00:00 AM,49,52281,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
10/25/2021 12:00:00 AM,61,52390,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
10/28/2021 12:00:00 AM,66,52607,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
10/31/2021 12:00:00 AM,19,52722,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
11/03/2021 12:00:00 AM,121,52994,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
11/06/2021 12:00:00 AM,56,53267,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
11/09/2021 12:00:00 AM,59,53443,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
11/12/2021 12:00:00 AM,59,53660,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
11/15/2021 12:00:00 AM,65,53785,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
11/18/2021 12:00:00 AM,64,54010,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
11/21/2021 12:00:00 AM,32,54139,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
11/24/2021 12:00:00 AM,67,54341,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
11/27/2021 12:00:00 AM,38,54437,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
11/30/2021 12:00:00 AM,120,54670,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
12/03/2021 12:00:00 AM,82,54956,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
12/06/2021 12:00:00 AM,93,55150,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
12/09/2021 12:00:00 AM,107,55469,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
12/12/2021 12:00:00 AM,55,55672,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
12/15/2021 12:00:00 AM,298,56324,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
12/18/2021 12:00:00 AM,261,57219,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
12/21/2021 12:00:00 AM,909,58957,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
12/24/2021 12:00:00 AM,547,61671,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
12/27/2021 12:00:00 AM,1649,64260,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
12/30/2021 12:00:00 AM,1944,69841,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
01/02/2022 12:00:00 AM,1018,72202,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
01/05/2022 12:00:00 AM,3161,81196,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
01/08/2022 12:00:00 AM,1301,87847,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
01/11/2022 12:00:00 AM,1700,92312,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
01/14/2022 12:00:00 AM,1845,98642,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
01/17/2022 12:00:00 AM,1551,102224,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
01/20/2022 12:00:00 AM,1505,107052,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
01/23/2022 12:00:00 AM,572,109567,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
01/26/2022 12:00:00 AM,873,112513,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
01/29/2022 12:00:00 AM,355,114244,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
02/01/2022 12:00:00 AM,451,115522,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
02/04/2022 12:00:00 AM,344,116791,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
02/07/2022 12:00:00 AM,411,117601,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
